title,abstract,biomimicry
B cell zone reticular cell microenvironments shape CXCL13 gradient formation,"Through the formation of concentration gradients, morphogens drive graded responses to extracellular signals, thereby fine-tuning cell behaviors in complex tissues. Here we show that the chemokine CXCL13 forms both soluble and immobilized gradients. Specifically, CXCL13+ follicular reticular cells form a small-world network of guidance structures, with computer simulations and optimization analysis predicting that immobilized gradients created by this network promote B cell trafficking. Consistent with this prediction, imaging analysis show that CXCL13 binds to extracellular matrix components in situ, constraining its diffusion. CXCL13 solubilization requires the protease cathepsin B that cleaves CXCL13 into a stable product. Mice lacking cathepsin B display aberrant follicular architecture, a phenotype associated with effective B cell homing to but not within lymph nodes. Our data thus suggest that reticular cells of the B cell zone generate microenvironments that shape both immobilized and soluble CXCL13 gradients. Morphogens such as chemokines form gradients to direct graded responses and modulate cell behaviors. Here the authors show, using imaging and computer simulation, that the chemokine CXCL13 originated from follicular reticular cells in the lymph nodes forms both soluble and immobilized gradients to regulate B cell recruitment and migration.",TRUE
Bacterial biofilm shows persistent resistance to liquid wetting and gas penetration,"Most of the world’s bacteria exist in robust, sessile communities known as biofilms, ubiquitously adherent to environmental surfaces from ocean floors to human teeth and notoriously resistant to antimicrobial agents. We report the surprising observation that Bacillus subtilis biofilm colonies and pellicles are extremely nonwetting, greatly surpassing the repellency of Teflon toward water and lower surface tension liquids. The biofilm surface remains nonwetting against up to 80% ethanol as well as other organic solvents and commercial biocides across a large and clinically important concentration range. We show that this property limits the penetration of antimicrobial liquids into the biofilm, severely compromising their efficacy. To highlight the mechanisms of this phenomenon, we performed experiments with mutant biofilms lacking ECM components and with functionalized polymeric replicas of biofilm microstructure. We show that the nonwetting properties are a synergistic result of ECM composition, multiscale roughness, reentrant topography, and possibly yet other factors related to the dynamic nature of the biofilm surface. Finally, we report the impenetrability of the biofilm surface by gases, implying defense capability against vapor-phase antimicrobials as well. These remarkable properties of B. subtilis biofilm, which may have evolved as a protection mechanism against native environmental threats, provide a new direction in both antimicrobial research and bioinspired liquid-repellent surface paradigms.",TRUE
Bacterial chemolithoautotrophy via manganese oxidation,"Manganese is one of the most abundant elements on Earth. The oxidation of manganese has long been theorized1—yet has not been demonstrated2–4—to fuel the growth of chemolithoautotrophic microorganisms. Here we refine an enrichment culture that exhibits exponential growth dependent on Mn(II) oxidation to a co-culture of two microbial species. Oxidation required viable bacteria at permissive temperatures, which resulted in the generation of small nodules of manganese oxide with which the cells associated. The majority member of the culture—which we designate ‘Candidatus Manganitrophus noduliformans’—is affiliated to the phylum Nitrospirae (also known as Nitrospirota), but is distantly related to known species of Nitrospira and Leptospirillum. We isolated the minority member, a betaproteobacterium that does not oxidize Mn(II) alone, and designate it Ramlibacter lithotrophicus. Stable-isotope probing revealed 13CO2 fixation into cellular biomass that was dependent upon Mn(II) oxidation. Transcriptomic analysis revealed candidate pathways for coupling extracellular manganese oxidation to aerobic energy conservation and autotrophic CO2 fixation. These findings expand the known diversity of inorganic metabolisms that support life, and complete a biogeochemical energy cycle for manganese5,6 that may interface with other major global elemental cycles. A co-culture of two newly identified microorganisms—‘Candidatus Manganitrophus noduliformans’ and Ramlibacter lithotrophicus—exhibits exponential growth that is dependent on manganese(II) oxidation, demonstrating the viability of this metabolism for supporting life.",TRUE
Bacterial microcompartments,"Bacterial microcompartments (BMCs) are self-assembling organelles that consist of an enzymatic core that is encapsulated by a selectively permeable protein shell. The potential to form BMCs is widespread and found across the kingdom Bacteria. BMCs have crucial roles in carbon dioxide fixation in autotrophs and the catabolism of organic substrates in heterotrophs. They contribute to the metabolic versatility of bacteria, providing a competitive advantage in specific environmental niches. Although BMCs were first visualized more than 60 years ago, it is mainly in the past decade that progress has been made in understanding their metabolic diversity and the structural basis of their assembly and function. This progress has not only heightened our understanding of their role in microbial metabolism but is also beginning to enable their use in a variety of applications in synthetic biology. In this Review, we focus on recent insights into the structure, assembly, diversity and function of BMCs.",TRUE
Bacterial motility: How do pili pull?,"Forceful retraction of a bacterial pilus has been directly observed for the first time. As retraction clarifies the basic mechanochemistry of single cell twitching and gliding movements, so cell-to-cell signalling by contact clarifies the coordination of multicellular gliding movements.",TRUE
Bacterial motility: How do pili pull?,"Forceful retraction of a bacterial pilus has been directly observed for the first time. As retraction clarifies the basic mechanochemistry of single cell twitching and gliding movements, so cell-to-cell signalling by contact clarifies the coordination of multicellular gliding movements.",TRUE
"Bacterial polymers: biosynthesis, modifications and applications","Bacteria can synthesize a wide range of biopolymers that serve diverse biological functions and have material properties suitable for numerous industrial and medical applications. A better understanding of the fundamental processes involved in polymer biosynthesis and the regulation of these processes has created the foundation for metabolic- and protein-engineering approaches to improve economic-production efficiency and to produce tailor-made polymers with highly applicable material properties. Here, I summarize the key aspects of bacterial biopolymer production and highlight how a better understanding of polymer biosynthesis and material properties can lead to increased use of bacterial biopolymers as valuable renewable products.",TRUE
Bacterial rhodopsin: evidence for a new type of phototrophy in the sea.,"Extremely halophilic archaea contain retinal-binding integral membrane proteins called bacteriorhodopsins that function as light-driven proton pumps. So far, bacteriorhodopsins capable of generating a chemiosmotic membrane potential in response to light have been demonstrated only in halophilic archaea. We describe here a type of rhodopsin derived from bacteria that was discovered through genomic analyses of naturally occuring marine bacterioplankton. The bacterial rhodopsin was encoded in the genome of an uncultivated gamma-proteobacterium and shared highest amino acid sequence similarity with archaeal rhodopsins. The protein was functionally expressed in Escherichia coli and bound retinal to form an active, light-driven proton pump. The new rhodopsin exhibited a photochemical reaction cycle with intermediates and kinetics characteristic of archaeal proton-pumping rhodopsins. Our results demonstrate that archaeal-like rhodopsins are broadly distributed among different taxa, including members of the domain Bacteria. Our data also indicate that a previously unsuspected mode of bacterially mediated light-driven energy generation may commonly occur in oceanic surface waters worldwide.",TRUE
"Bacterial Surface Motility: Slime Trails, Grappling Hooks and Nozzles","We thank N. Bose, K. Collins, R. Brennan, T. Economou, H. Higgs, M. Koomey, G. O'Toole, M. Sheetz, J. Skerker, R. Taylor, and T. Yahr for critical discussion of the ideas in this review. We apologize to colleagues whose work was not cited due to space constraints. A.J.M. is supported by Fellowship DRG–1598 of the Cancer Research Fund of the Damon Runyon-Walter Winchell Foundation. K.T.F. is supported by the NIH (GM59721) and the W.M. Keck Foundation.",TRUE
Ballistic tongue projection in chameleons maintains high performance at low temperature,"Environmental temperature impacts the physical activity and ecology of ectothermic animals through its effects on muscle contractile physiology. Sprinting, swimming, and jumping performance of ectotherms decreases by at least 33% over a 10 °C drop, accompanied by a similar decline in muscle power. We propose that ballistic movements that are powered by recoil of elastic tissues are less thermally dependent than movements that rely on direct muscular power. We found that an elastically powered movement, ballistic tongue projection in chameleons, maintains high performance over a 20 °C range. Peak velocity and power decline by only 10%–19% with a 10 °C drop, compared to >42% for nonelastic, muscle-powered tongue retraction. These results indicate that the elastic recoil mechanism circumvents the constraints that low temperature imposes on muscle rate properties and thereby reduces the thermal dependence of tongue projection. We propose that organisms that use elastic recoil mechanisms for ecologically important movements such as feeding and locomotion may benefit from an expanded thermal niche.",TRUE
Bamboo-inspired optimal design for functionally graded hollow cylinders,"The optimal distribution of the reinforcing fibers for stiffening hollow cylindrical composites is explored using the linear elasticity theory. The spatial distribution of the vascular bundles in wild bamboo, a nature-designed functionally graded material, is the basis for the design. Our results suggest that wild bamboos maximize their flexural rigidity by optimally regulating the radial gradation of their vascular bundle distribution. This fact provides us with a plant-mimetic design principle that enables the realization of high-stiffness and lightweight cylindrical composites.",TRUE
Barnacle cement: a polymerization model based on evolutionary concepts,"SUMMARY Enzymes and biochemical mechanisms essential to survival are under extreme selective pressure and are highly conserved through evolutionary time. We applied this evolutionary concept to barnacle cement polymerization, a process critical to barnacle fitness that involves aggregation and cross-linking of proteins. The biochemical mechanisms of cement polymerization remain largely unknown. We hypothesized that this process is biochemically similar to blood clotting, a critical physiological response that is also based on aggregation and cross-linking of proteins. Like key elements of vertebrate and invertebrate blood clotting, barnacle cement polymerization was shown to involve proteolytic activation of enzymes and structural precursors, transglutaminase cross-linking and assembly of fibrous proteins. Proteolytic activation of structural proteins maximizes the potential for bonding interactions with other proteins and with the surface. Transglutaminase cross-linking reinforces cement integrity. Remarkably, epitopes and sequences homologous to bovine trypsin and human transglutaminase were identified in barnacle cement with tandem mass spectrometry and/or western blotting. Akin to blood clotting, the peptides generated during proteolytic activation functioned as signal molecules, linking a molecular level event (protein aggregation) to a behavioral response (barnacle larval settlement). Our results draw attention to a highly conserved protein polymerization mechanism and shed light on a long-standing biochemical puzzle. We suggest that barnacle cement polymerization is a specialized form of wound healing. The polymerization mechanism common between barnacle cement and blood may be a theme for many marine animal glues.",TRUE
Bat wing sensors support flight control,"Bats are the only mammals capable of powered flight, and they perform impressive aerial maneuvers like tight turns, hovering, and perching upside down. The bat wing contains five digits, and its specialized membrane is covered with stiff, microscopically small, domed hairs. We provide here unique empirical evidence that the tactile receptors associated with these hairs are involved in sensorimotor flight control by providing aerodynamic feedback. We found that neurons in bat primary somatosensory cortex respond with directional sensitivity to stimulation of the wing hairs with low-speed airflow. Wing hairs mostly preferred reversed airflow, which occurs under flight conditions when the airflow separates and vortices form. This finding suggests that the hairs act as an array of sensors to monitor flight speed and/or airflow conditions that indicate stall. Depilation of different functional regions of the bats’ wing membrane altered the flight behavior in obstacle avoidance tasks by reducing aerial maneuverability, as indicated by decreased turning angles and increased flight speed.",TRUE
Battle in the Amazon: Arapaima versus Piranha,"The scales of the Arapaimas, a large freshwater fish (up to 200 kg), are a superb example of a natural material that has evolved to provide protection against predators. The Arapaimas lives primarily in Amazon basin lakes that become infested with piranhas as the dry season advances and is covered with scales having up to 10 cm length. They have a collagen interior with a highly mineralized external layer. The collagen fibers form a cross-lamellar arrangement which produces a laminate composite. The internal collagenous layer provides the flexibility to the scales, which can undergo significant elastic deformation prior to failure, providing considerable toughness. The mineralized exterior provides the required protection against predation. The flexibility of the biomineral is enabled by two factors: (i) a corrugated configuration in which the tensile strains are minimized; (ii) a graded composition. We propose herein that the structure of the scales, a composite consisting of a mineralized external layer with surface corrugations and an internal flexible collagenous foundation, can serve as inspiration for the design of flexible composites having a hard ceramic surface. The piranha (Serrasalminae) is one of the principal predators in seasonal lakes, in which fish get trapped. Its teeth form triangular arrays creating a guillotine action that is highly effective in slicing through muscle. The bite force is calculated for a piranha with a mass of 1 kg from estimated maximum force values applied by three muscle groups connecting the jaw to the mandible: it is ≈20 N. Mechanical tests on the scales and teeth demonstrate that the cutting and puncturing ability of the piranha teeth cannot penetrate the Arapaimas scales.",TRUE
Beaver-induced spatiotemporal patch dynamics affect landscape-level environmental heterogeneity,"Beavers (Castor sp.) are ecosystem engineers that cause significant changes to their physical environment and alter the availability of resources to other species. We studied flood dynamics created by American beaver (C. canadensis K.) in a southern boreal landscape in Finland in 1970-2018. We present for the first time, to our knowledge, a temporally continuous long-term study of beaver-induced flood disturbances starting from the appearance of beaver in the area. During the 49 years, the emergence of new sites flooded by beaver and repeated floods (61% of the sites) formed a dynamic mosaic characterized by clustered patterns of beaver sites. As beaver dispersal proceeded, connectivity of beaver sites increased significantly. The mean flood duration was approximately three years, which highlights the importance of datasets with high-temporal resolution in detecting beaver-induced disturbances. An individual site was often part of the active flood mosaic over several decades, although the duration and the number of repeated floods at different sites varied considerably. Variation of flood-inundated and post-flood phases at individual sites resulted in a cumulative number of unique patches that contribute to environmental heterogeneity in space and time. A disturbance mosaic consisting of patches differing by successional age and flood history is likely to support species richness and abundance of different taxa and facilitate whole species communities. Beavers are thus a suitable means to be used in restoration of riparian habitat due to their strong and dynamic influence on abiotic environment and its biotic consequences.",TRUE
Bile Acid secreted by male sea lamprey that acts as a sex pheromone,"We show that reproductively mature male sea lampreys release a bile acid that acts as a potent sex pheromone, inducing preference and searching behavior in ovulated female lampreys. The secreted bile acid 7alpha,12alpha,24-trihydroxy-5alpha-cholan-3-one 24-sulfate was released in much higher amounts relative to known vertebrate steroid pheromones and may be secreted through the gills. Hence, the male of this fish species signals both its reproductive status and location to females by secreting a pheromone that can act over long distances.",TRUE
Bill sweeping in spoonbills Platalea: no evidence for an effective suction force at the tip,"We analysed the hypothesis of Weihs and Katzir (1994) that feeding spoonbills use their broad bills by sweeping it through the water to shed a vortex. This would result in a hydrodynamic suction on the bottom for catching prey immediately or during the next sweep besides providing some extra benefits. The basic assumptions appear to be erroneous. (1) A spoonbill does not mainly feed on small, benthic invertebrates, but mainly on nekton such as fish and shrimps. (2) The inner surface of the upper mandible of a spoonbill is not concave but convex. (3) During feeding, a spoonbill does not keep its bill tip close to the bottom independent of the water depth. The outcomes of the tests supporting the hypothesis do not hold and the suggested benefits are dubious. Therefore, we reject the hypothesis and the claim that the bill of a spoonbill is used as a hydrofoil. The discussed paper tried to give an explanation of the behaviour of a bird with the help of hydrodynamic formulae. The fundamental mistake in the paper is that the use of the formulae is based on wrong assumptions concerning the food of the bird, its feeding behaviour as well as its anatomical details. The tests with a bird kept in captivity suggesting a proof of the rightness of the hypothesis lack a proper connection to the situation in the wild. Spoonbills (Aves: Ciconiiformes: Threskiornithidae, genus Platalea) are large wading birds characterised by their extremely flattened bills that are widened in the distal parts. The six species are very similar in shape and behaviour, mainly differing in size, colour of legs, bills and other bare parts, and in distribution (Matheu and del Hoyo 1992). They feed tactilely by walking in shallow",TRUE
Bioactive Molecular Networking for Mapping the Antimicrobial Constituents of the Baltic Brown Alga Fucus vesiculosus,"The brown alga Fucus vesiculosus is common to the intertidal zones of the Baltic Sea, where it is exposed to high fouling pressures by microorganisms. Our previous studies showed, repeatedly, the consistent antimicrobial activity of F. vesiculosus crude extracts against human pathogens, while untargeted metabolomics analyses have revealed a variety of metabolites. In this study, we applied the UPLC-QToF-MS/MS-based “bioactive molecular networking” (BMN) concept on the most bioactive n-hexane and n-butanol subextracts of Baltic F. vesiculosus coupled with in silico dereplication tools to identify the compounds responsible for antimicrobial activity. The first antimicrobial cluster identified by BMN was galactolipids. Our targeted isolation efforts for this class led to the isolation of six monogalactosyldiacylglycerol (MGDG) derivatives (1–6) and one digalactosyldiacylglycerol (DGDG, 7). The MGDGs 5 and 6 and the DGDG 7 exhibited activity against Staphylococcus aureus. The second compound class with high bioactivity was phlorotannins. In particular, phlorethol-type phlorotannins showed high correlations with antimicrobial activity based on the BMN approach, and two phlorotannins (8–9) were isolated. This study shows that antimicrobial components of F. vesiculosus reside in the algal cell walls and membranes and that BMN provides a complementary tool for the targeted isolation of bioactive metabolites.",TRUE
Biochemical analysis of elastic and rigid cuticles of Cirsium horridulum,"Abstract. The cuticle is a complex structure of soluble lipids, lipid polymers and polysaccharides. In addition to its functions to reduce water loss and provide a protective barrier, its mechanical properties may be significant to plant growth and development. We investigated the cuticle of Cirsium horridulum Michx. because of its involvement in the thigmonastic contraction of staminal filaments. The staminal filaments and portions of the style are surrounded by a highly elastic cuticle in contrast to the rigid cuticle of the corolla and leaves. Our aim was to determine if the biochemical composition affected the elasticity of the cuticle. We discovered that the ratio of carbohydrates to lipids is 1:7 in floral parts but 2:1 in leaf cuticle. Esterified cutin components represented about 80% of the cuticle and di-hydroxyhexadecanoic acids were the major monomers of cutin, regardless of origin. The cutin of elastic tissues is characterized by a higher content of tri-hydroxy monomers than the cutin of rigid tissues. The data suggest that hydroxyl groups enhance the hydrophilic character of the cuticle and contribute to cuticular elasticity.",TRUE
Biochemical characteristics and antibiotic properties of the mucous envelope of the queen parrotfish,The mucous cocoon of the queen parrotfish is an extensive disulphate bonded network of small glycoproteins of about 21 kDa apparent molecular weight. N-terminal amino acid sequencing revealed a unique sequence of the first 25 amino acids. Sonicated samples of mucus and the dialysed newly discovered protein inhibit bacterial growth.,TRUE
Biodegradation of Fluoranthene by Basidiomycetes Fungal Isolate Pleurotus Ostreatus HP-1,"The biodegradation of fluoranthene, a high molecular weight polycyclic aromatic hydrocarbon (PAH), was investigated in submerged culture using the wood decaying fungus isolated from forest locality in Gujarat, India. The basidiomycete fungal isolate was found to have an ability to grow on sabaroud dextrose agar containing 50 mgl−1 of each naphthalene, anthracene, acenaphthene, benzo (a) anthracene, pyrene, flouranthene, carbazole, and biphenyl. The involvement of extracellular fungal peroxidases such as manganese peroxidase (MnP) and laccase (Phenol oxidase) in the degradation of fluoranthene was studied. On the eighth day of incubation 54.09% of 70 mg l−1 fluoranthene was removed. There after no PAHs removal was observed till the 20th day of the incubation period. The isolate was identified as Pleurotus ostreatus by 18S rRNA, 5.8S rRNA, and partial 28S rRNA gene sequencing. To the best of our knowledge this is the first time Pleurotus ostreatus have been reported to degrade such a high concentration of fluoranthene within much lower time period of incubation. Depletion in the residual fluoranthene in the culture medium was determined by HPLC. Attempts were made to identify the degradation product in the culture medium with the help of FT-IR, NMR, and HPTLC analysis. In the present study positive correlation between fluoranthene degradation and the ligninolytic enzyme (MnP and laccase) production is observed, thus this isolate can play an effective role for bioremediation of PAHs contaminated sites.",TRUE
Biodegradation of new quaternary ammonium compounds in treated wood by mould fungi,"The degradation of seven potential wood preservatives based on imidazolium compounds (ICs) and quaternary ammonium compounds (QACs) with a modified anion structure by mould fungi was determined using soil-block method. Experiments were carried out on Scots pine (Pinus sylvestris L.) wood. Two-phase titration and high-performance liquid chromatography (HPLC) method were used to detect and quantify the degradation products. The performed soil-block tests showed that the ICs and QACs with alkoxymethyl substituents were leached from the experimental wood when in contact with moist soil and revealed their fungal detoxification by mould fungi, especially by Gliocladium roseum. The degree of biological decomposition of new compounds was higher than didecyldimethylammonium chloride and didecylmethylpoli(oxyethyl)ammonium propionate. The observations of the colonization by mould fungi were made using the scanning electron microscope (SEM). Decay of treated wood by mould fungi showed its tolerance to QACs.",TRUE
Biodegradation of volatile organic compounds by five fungal species,"Abstract. Five fungal species, Cladosporium resinae (ATCC 34066), Cladosporium sphaerospermum (ATCC 200384), Exophiala lecanii-corni (CBS 102400), Mucor rouxii (ATCC 44260), and Phanerochaete chrysosporium (ATCC 24725), were tested for their ability to degrade nine compounds commonly found in industrial off-gas emissions. Fungal cultures inoculated on ceramic support media were provided with volatile organic compounds (VOCs) via the vapor phase as their sole carbon and energy sources. Compounds tested included aromatic hydrocarbons (benzene, ethylbenzene, toluene, and styrene), ketones (methyl ethyl ketone, methyl isobutyl ketone, and methyl propyl ketone), and organic acids (n-butyl acetate, ethyl 3-ethoxypropionate). Experiments were conducted using three pH values ranging from 3.5 to 6.5. Fungal ability to degrade each VOC was determined by observing the presence or absence of visible growth on the ceramic support medium during a 30-day test period. Results indicate that E. lecanii-corni and C. sphaerospermum can readily utilize each of the nine VOCs as a sole carbon and energy source. P. chrysosporium was able to degrade all VOCs tested except for styrene under the conditions imposed. C. resinae was able to degrade both organic acids, all of the ketones, and some of the aromatic compounds (ethylbenzene and toluene); however, it was not able to grow utilizing benzene or styrene under the conditions tested. With the VOCs tested, M. rouxii produced visible growth only when supplied with n-butyl acetate or ethyl 3-ethoxypropionate. Maximum growth for most fungi was observed at a pH of approximately 5.0. The experimental protocol utilized in these studies is a useful tool for assessing the ability of different fungal species to degrade gas-phase VOCs under conditions expected in a biofilter application.",TRUE
Biofouling: lessons from nature,"Biofouling is generally undesirable for many applications. An overview of the medical, marine and industrial fields susceptible to fouling is presented. Two types of fouling include biofouling from organism colonization and inorganic fouling from non-living particles. Nature offers many solutions to control fouling through various physical and chemical control mechanisms. Examples include low drag, low adhesion, wettability (water repellency and attraction), microtexture, grooming, sloughing, various miscellaneous behaviours and chemical secretions. A survey of nature's flora and fauna was taken in order to discover new antifouling methods that could be mimicked for engineering applications. Antifouling methods currently employed, ranging from coatings to cleaning techniques, are described. New antifouling methods will presumably incorporate a combination of physical and chemical controls.",TRUE
Bioinspired Materials with Self-Adaptable Mechanical Properties.,"Natural structural materials, such as bone, can autonomously modulate their mechanical properties in response to external loading to prevent failure. These material systems smartly control the addition/removal of material in locations of high/low mechanical stress by utilizing local resources guided by biological signals. On the contrary, synthetic structural materials have unchanging mechanical properties limiting their mechanical performance and service life. Inspired by the mineralization process of bone, a material system that adapts its mechanical properties in response to external mechanical loading is reported. It is found that charges from piezoelectric scaffolds can induce mineralization from surrounding media. It is shown that the material system can adapt to external mechanical loading by inducing mineral deposition in proportion to the magnitude of the stress and the resulting piezoelectric charges. Moreover, the mineralization mechanism allows a simple one-step route for fabricating functionally graded materials by controlling the stress distribution along the scaffold. The findings can pave the way for a new class of self-regenerating materials that reinforce regions of high stress or induce deposition of minerals on the damaged areas from the increase in mechanical stress to prevent/mitigate failure. It is envisioned that the findings can contribute to addressing the current challenges of synthetic materials for load-bearing applications from self-adaptive capabilities.",TRUE
Biological characterization of the skin of shortfin mako shark Isurus oxyrinchus and preliminary study of the hydrodynamic behaviour through computational fluid dynamics.,"This study characterized the morphology, density and orientation of the dermal denticles along the body of a shortfin mako shark Isurus oxyrinchus and identified the hydrodynamic parameters of its body through a computational fluid-dynamics model. The study showed a great variability in the morphology, size, shape, orientation and density of dermal denticles along the body of I. oxyrinchus. There was a significant higher density in dorsal and ventral areas of the body and their highest angular deviations were found in the lower part of the mouth and in the areas between the pre-caudal pit and the second dorsal and pelvic fins. A detailed three-dimensional geometry from a scanned body of a shark was carried out to evaluate the hydrodynamic properties such as drag coefficient, lift coefficient and superficial (skin) friction coefficient of the skin together with flow velocity field, according to different roughness coefficients simulating the effect of the dermal denticles. This preliminary approach contributed to detailed information of the denticle interactions. As the height of the denticles was increased, flow velocity and the effect of lift decreased whereas drag increased. The highest peaks of skin friction coefficient were observed around the pectoral fins.",TRUE
Biology Reveals New Ways to Hold on Tight,"At an unusual recent meeting, biologists and materials scientists swapped notes about how natural and artificial adhesives work. The materials scientists discussed physical or chemical properties that biologists should consider as they try to figure out how nature performs its sticky tricks. The biologists described how various organisms stay put. By bringing the two disciplines together, the Defense Advanced Research Projects Agency, which funded the symposium, hoped to stimulate insights that might one day lead to more effective adhesives.",TRUE
"Bioluminescence in the Ocean: Origins of Biological, Chemical, and Ecological Diversity","In Living Color Light produced using the chemical process of bioluminescence spans the entire range of the visible spectrum. Bioluminescence has evolved independently several times in the tree of life. However, the majority of bioluminescent organisms reside in the open ocean, where their bioluminescence helps species in over 700 genera evade predators, attract mates, and find food. Widder (p. 704) reviews recent advances in understanding the evolution and distribution of bioluminescence in marine systems. From bacteria to fish, a remarkable variety of marine life depends on bioluminescence (the chemical generation of light) for finding food, attracting mates, and evading predators. Disparate biochemical systems and diverse phylogenetic distribution patterns of light-emitting organisms highlight the ecological benefits of bioluminescence, with biochemical and genetic analyses providing new insights into the mechanisms of its evolution. The origins and functions of some bioluminescent systems, however, remain obscure. Here, I review recent advances in understanding bioluminescence in the ocean and highlight future research efforts that will unite molecular details with ecological and evolutionary relationships.",TRUE
Bioluminescent signals spatially amplified by wavelength-specific diffusion through the shell of a marine snail,"Some living organisms produce visible light (bioluminescence) for intra- or interspecific visual communication. Here, we describe a remarkable bioluminescent adaptation in the marine snail Hinea brasiliana. This species produces a luminous display in response to mechanical stimulation caused by encounters with other motile organisms. The light is produced from discrete areas on the snail's body beneath the snail's shell, and must thus overcome this structural barrier to be viewed by an external receiver. The diffusion and transmission efficiency of the shell is greater than a commercial diffuser reference material. Most strikingly, the shell, although opaque and pigmented, selectively diffuses the blue-green wavelength of the species bioluminescence. This diffusion generates a luminous display that is enlarged relative to the original light source. This unusual shell thus allows spatially amplified outward transmission of light communication signals from the snail, while allowing the animal to remain safely inside its hard protective shell.",TRUE
Biomaterials: Recipe for squid beak.,The molecular basis of biomaterial assembly and function can provide inspiration for new materials science designs. New research explains the squid beak's transition from soft to hard through the identification of two new families of proteins with unusual physical properties.,TRUE
Biomechanics: A pneumo-hydrostatic skeleton in land crabs,"Like their aquatic counterparts, terrestrial crabs repeatedly shed their rigid exoskeleton during moulting. But in the case of land crabs, little water is available to provide a temporary hydrostatic skeleton before the new skeleton hardens, and air does not provide the buoyancy necessary to support the animal. Here we show that whenever its exoskeleton is shed, the blackback land crab Gecarcinus lateralis relies on an unconventional type of hydrostatic skeleton that uses both gas and liquid (a ‘pneumo-hydrostat’). To our knowledge, this is the first experimental evidence for a locomotor skeleton that depends on a gas. It establishes a new category of hydrostatic skeletal support and possibly a critical adaptation to life on land for the Crustacea.",TRUE
Biomechanics: Turning the key on Drosophila audition,"The genetic dissection of Drosophila audition is advancing considerably, but complementary studies are needed to unravel the chain of mechanosensory events that bring about hearing in the fly. Here we investigate the delicate biomechanics of the fly's minute antennal hearing organs and show that they look and work like a lock and key. Rotating in response to sound, the antenna's distal segment mechanically activates the auditory receptors — thereby 'unlocking' the mechanism of Drosophila audition.",TRUE
Biomimetic structure design — a possible approach to change the brittleness of ceramics in nature☆,"Based on the analysis on structure of natural biomaterials, two kinds of ceramic composites with high toughness have been designed and prepared: one is fibrous monolithic Si3N4/BN composite imitating bamboos or trees in structure, the other is laminated Si3N4/BN composite imitating nacre in structure. Plastic forming methods, including extrusion and roll compaction, respectively, followed by hot-pressed sintering are used to prepare these two materials with particular structures. Both of the two composites have high values of fracture toughness and work of fracture: fracture toughness are 24 MPa m1/2 and 28 MPa m1/2, respectively, for fibrous monolithic and laminated Si3N4/BN composites, and works of fracture are both more than 4000 J/m2. The load-displacement curves reveal that these two materials with biomimetic structure exhibit non-brittle feature when applied load to fracture. Through analysis on fractographs of the materials, it is revealed that high toughness comes from the synergistic toughening among multi-level toughening mechanisms in different scales: weak interfaces, whiskers and elongated grains toughening in ceramic matrix cells.",TRUE
Biomimetics of campaniform sensilla: Measuring strain from the deformation of holes,"We present a bio-inspired strategy for designing embedded strain sensors in space structures. In insects, the campaniform sensillum is a hole extending through the cuticle arranged such that its shape changes in response to loads. The shape change is rotated through 90° by the suspension of a bell-shaped cap whose deflection is detected by a cell beneath the cuticle. It can be sensitive to displacements of the order of 1 nm. The essential morphology, a hole formed in a plate of fibrous composite material, was modelled by Skordos et al. who showed that global deformation of the plate (which can be flat, curved or a tube) induces higher local deformation of the hole due to its locally higher compliance. Further developments reported here show that this approach can be applied to groups of holes relative to their orientation.The morphology of the sensillum in insects suggests that greater sensitivity can be achieved by arranging several holes in a regular pattern; that if the hole is oval it can be “aimed” to sense specific strain directions; and that either by controlling the shape of the hole or its relationship with other holes it can have a tuned response to dynamic strains.We investigate space applications in which novel bio-inspired strain sensors could successfully be used.",TRUE
Biomimicry of bamboo bast fiber with engineering composite materials,"Bamboo, one of the strongest natural structural composite materials, has many distinguishing features. It has been found that its reinforcement unit, hollow, multilayered and spirally-wound bast fiber, plays an extremely important role in its mechanical behavior. In the present work, on the basis of the study on bamboo bast fiber and wood tracheid, a biomimetic model of the reinforcing element, composed of two layers of helically wound fiber, was suggested. To detect the structural characteristics of such a microstructure, four types of macro fiber specimens made of engineering composites were employed: axially aligned solid and hollow cylinders, and single- and double-helical hollow cylinders. These specimens were subjected to several possible loadings, and the experimental results reveal that only the double-helical structural unit possesses the optimum comprehensive mechanical properties. An interlaminar transition zone model imitating bamboo bast fiber was proposed and was verified by engineering composite materials. In our work, the transition zone can increase the interlaminar shear strength of the composite materials by about 15%. These biomimetic structural models can be applied in the design and manufacture of engineering composite materials.",TRUE
Biomineralization of Gold: Biofilms on Bacterioform Gold,Bacterial biofilms are associated with secondary gold grains from two sites in Australia. 16S ribosomal DNA clones of the genus Ralstonia that bear 99% similarity to the bacterium Ralstonia metallidurans—shown to precipitate gold from aqueous gold(III) tetrachloride—were present on all DNA-positive gold grains but were not detected in the surrounding soils. These results provide evidence for the bacterial contribution to the authigenic formation of secondary bacterioform gold grains and nuggets.,TRUE
